win,lose,probability
Memphis Grizzlies,Philadelphia 76ers,0.982010516121952
Oklahoma City Thunder,Sacramento Kings,0.7801084410299008
Utah Jazz,Denver Nuggets,0.6819165934956105
San Antonio Spurs,Boston Celtics,0.5318944016251903
Cleveland Cavaliers,Dallas Mavericks,0.8434390783333175
Oklahoma City Thunder,Denver Nuggets,0.787573331058474
Los Angeles Clippers,Detroit Pistons,0.5711521834562416
Indiana Pacers,Brooklyn Nets,0.9181116203699617
Golden State Warriors,Los Angeles Lakers,0.9868294979432486
Miami Heat,Memphis Grizzlies,0.6637620761076428
Toronto Raptors,Milwaukee Bucks,0.8514851263186893
Charlotte Hornets,New York Knicks,0.7730282532646175
Washington Wizards,Orlando Magic,0.599696877417243
Chicago Bulls,Philadelphia 76ers,0.9928212540103537
Minnesota Timberwolves,Phoenix Suns,0.636692784050205
Portland Trail Blazers,New Orleans Pelicans,0.7865972389587345
Houston Rockets,Sacramento Kings,0.5828694206402971
Atlanta Hawks,Utah Jazz,0.5808806023310421
Charlotte Hornets,New York Knicks,0.7984964507348409
Golden State Warriors,Minnesota Timberwolves,0.9545582836306877
Miami Heat,Memphis Grizzlies,0.750649390317515
Oklahoma City Thunder,Detroit Pistons,0.7681681392395986
San Antonio Spurs,Washington Wizards,0.673073296193573
Sacramento Kings,Brooklyn Nets,0.8454917808012029
Dallas Mavericks,New Orleans Pelicans,0.7162352496967308
Los Angeles Clippers,Indiana Pacers,0.5636675012932321
Atlanta Hawks,Los Angeles Lakers,0.9618642796148632
Orlando Magic,Milwaukee Bucks,0.6443404719135354
Cleveland Cavaliers,Philadelphia 76ers,0.9961879152326505
Denver Nuggets,Phoenix Suns,0.7162046845239973
Portland Trail Blazers,Houston Rockets,0.6341666237572091
Golden State Warriors,Atlanta Hawks,0.8307793504954213
Charlotte Hornets,Memphis Grizzlies,0.6010890317104296
Miami Heat,Boston Celtics,0.5782751564914878
Utah Jazz,Minnesota Timberwolves,0.7175487752818388
Oklahoma City Thunder,New York Knicks,0.8417635626093483
Toronto Raptors,Philadelphia 76ers,0.9918428655118351
Washington Wizards,Sacramento Kings,0.6975281860071054
Los Angeles Clippers,Brooklyn Nets,0.947610366020327
Charlotte Hornets,Detroit Pistons,0.6612663494189372
Cleveland Cavaliers,Milwaukee Bucks,0.8940640507610028
New Orleans Pelicans,Los Angeles Lakers,0.8006082481992384
San Antonio Spurs,Orlando Magic,0.8728100410374073
Utah Jazz,Houston Rockets,0.5265195778538743
Boston Celtics,Detroit Pistons,0.7011420139535982
Chicago Bulls,Los Angeles Lakers,0.9540582501974338
San Antonio Spurs,Dallas Mavericks,0.7262732929838872
Miami Heat,Denver Nuggets,0.7566759177211809
New York Knicks,Minnesota Timberwolves,0.5817353858542367
Oklahoma City Thunder,Washington Wizards,0.7638790246937851
Atlanta Hawks,Phoenix Suns,0.8823314343641987
Portland Trail Blazers,Indiana Pacers,0.5836595323324385
Toronto Raptors,Memphis Grizzlies,0.8192251941107791
Milwaukee Bucks,Brooklyn Nets,0.786226298043712
Charlotte Hornets,Dallas Mavericks,0.6614696166814569
Cleveland Cavaliers,Los Angeles Clippers,0.7435974938795329
Golden State Warriors,Houston Rockets,0.8832659527118008
Memphis Grizzlies,Orlando Magic,0.5926783622279811
Miami Heat,Utah Jazz,0.6569513700068998
Atlanta Hawks,Detroit Pistons,0.6584642927079752
Boston Celtics,Sacramento Kings,0.8068891611151804
Cleveland Cavaliers,Chicago Bulls,0.6374240240090423
Houston Rockets,Denver Nuggets,0.5935414481205952
Los Angeles Clippers,New Orleans Pelicans,0.8229553328375303
New York Knicks,Minnesota Timberwolves,0.5698932910161719
Orlando Magic,Philadelphia 76ers,0.9783406804654353
San Antonio Spurs,Washington Wizards,0.8078503592442975
Toronto Raptors,Los Angeles Lakers,0.9718789644890518
Charlotte Hornets,Minnesota Timberwolves,0.8649232494664103
Chicago Bulls,Dallas Mavericks,0.6566282274385302
Golden State Warriors,Phoenix Suns,0.967119438484125
Memphis Grizzlies,Los Angeles Lakers,0.9017890278793774
Milwaukee Bucks,Brooklyn Nets,0.7704812270158139
Boston Celtics,Philadelphia 76ers,0.991724915511907
Miami Heat,Portland Trail Blazers,0.5512647152862002
Toronto Raptors,Atlanta Hawks,0.7248591803808744
Utah Jazz,Denver Nuggets,0.6819165934956105
Detroit Pistons,Orlando Magic,0.6895106649728795
Los Angeles Clippers,Indiana Pacers,0.7043378779999403
Sacramento Kings,New York Knicks,0.5815791181485657
Oklahoma City Thunder,New Orleans Pelicans,0.8927517742491977
Oklahoma City Thunder,Atlanta Hawks,0.5271012921876743
Washington Wizards,Brooklyn Nets,0.9089418087318712
Chicago Bulls,Portland Trail Blazers,0.6184999273968986
Charlotte Hornets,Dallas Mavericks,0.5779476611628807
Golden State Warriors,Indiana Pacers,0.8595320546823733
Boston Celtics,Houston Rockets,0.6296951450934467
Utah Jazz,Los Angeles Lakers,0.9456471430724475
San Antonio Spurs,Milwaukee Bucks,0.8610574802190253
Memphis Grizzlies,New Orleans Pelicans,0.6550938615966417
Denver Nuggets,Philadelphia 76ers,0.9693277394610126
Cleveland Cavaliers,Toronto Raptors,0.5137060929345656
Chicago Bulls,Detroit Pistons,0.5796096529459058
Memphis Grizzlies,Philadelphia 76ers,0.9699744494238389
Miami Heat,New York Knicks,0.822510449377936
San Antonio Spurs,Minnesota Timberwolves,0.8827129125286342
Utah Jazz,Phoenix Suns,0.8121269506005673
Washington Wizards,Orlando Magic,0.6735702445155392
Atlanta Hawks,Miami Heat,0.5168204764732769
Denver Nuggets,Brooklyn Nets,0.810562676245788
Charlotte Hornets,Detroit Pistons,0.6612663494189372
Dallas Mavericks,Sacramento Kings,0.6414991596635604
Houston Rockets,Los Angeles Lakers,0.9078012784735549
Golden State Warriors,Los Angeles Clippers,0.608497965403535
Portland Trail Blazers,Milwaukee Bucks,0.7475439026932318
Cleveland Cavaliers,New York Knicks,0.8998693795039874
Boston Celtics,Orlando Magic,0.7088990313653245
Indiana Pacers,Phoenix Suns,0.8574717253494712
San Antonio Spurs,Chicago Bulls,0.5634951482502517
Portland Trail Blazers,Memphis Grizzlies,0.5824652498867553
New Orleans Pelicans,Philadelphia 76ers,0.9338912340575205
Toronto Raptors,Minnesota Timberwolves,0.9185159344481421
Golden State Warriors,Utah Jazz,0.8045824759800952
Washington Wizards,Denver Nuggets,0.7467882412279747
Toronto Raptors,Boston Celtics,0.5124841664655496
Charlotte Hornets,Orlando Magic,0.7567503848012392
Cleveland Cavaliers,Miami Heat,0.7491312117646014
Indiana Pacers,Dallas Mavericks,0.5102129510093711
Phoenix Suns,Los Angeles Lakers,0.808058275898012
Atlanta Hawks,Milwaukee Bucks,0.752019153901506
Detroit Pistons,Minnesota Timberwolves,0.7384411930006418
Oklahoma City Thunder,Houston Rockets,0.796532435384558
Sacramento Kings,New York Knicks,0.5514799455412213
Chicago Bulls,Miami Heat,0.5339434698729273
Cleveland Cavaliers,Charlotte Hornets,0.7964226605403901
Dallas Mavericks,Houston Rockets,0.5050572808183554
Indiana Pacers,Portland Trail Blazers,0.5300576481750185
Los Angeles Clippers,New Orleans Pelicans,0.8623279767838002
Golden State Warriors,Memphis Grizzlies,0.8093129428726663
Orlando Magic,Denver Nuggets,0.6089521132716997
San Antonio Spurs,Brooklyn Nets,0.9711023584529958
Utah Jazz,Sacramento Kings,0.6263507538395723
Washington Wizards,Milwaukee Bucks,0.7743256177871711
Detroit Pistons,Philadelphia 76ers,0.9801208593051749
New York Knicks,Los Angeles Lakers,0.9049897363576389
Golden State Warriors,Minnesota Timberwolves,0.916252093325574
Oklahoma City Thunder,Boston Celtics,0.6655718370607641
New Orleans Pelicans,Phoenix Suns,0.6958741431314802
Dallas Mavericks,Denver Nuggets,0.6959059682366577
Houston Rockets,Brooklyn Nets,0.8842698372161307
Indiana Pacers,Charlotte Hornets,0.5108164830800703
Los Angeles Clippers,Portland Trail Blazers,0.6618719459972031
Miami Heat,Washington Wizards,0.690303250762435
Sacramento Kings,Los Angeles Lakers,0.8589853164117346
Toronto Raptors,Milwaukee Bucks,0.9010567019393582
Atlanta Hawks,Orlando Magic,0.7544448800227636
Chicago Bulls,Minnesota Timberwolves,0.8713545546916475
Cleveland Cavaliers,Memphis Grizzlies,0.876505357943506
Golden State Warriors,New Orleans Pelicans,0.9065919076540043
New York Knicks,Phoenix Suns,0.7390260467205821
Oklahoma City Thunder,Portland Trail Blazers,0.5942591373429048
Brooklyn Nets,Los Angeles Lakers,0.5078407224463316
Dallas Mavericks,Detroit Pistons,0.501174206214002
Houston Rockets,Sacramento Kings,0.635536385309768
Cleveland Cavaliers,Memphis Grizzlies,0.7990373846068612
Miami Heat,Indiana Pacers,0.6856616223729648
Los Angeles Clippers,Orlando Magic,0.730793977177211
Toronto Raptors,Philadelphia 76ers,0.994398557011823
San Antonio Spurs,Boston Celtics,0.7211678096792122
Oklahoma City Thunder,Utah Jazz,0.6954145783361139
Charlotte Hornets,Washington Wizards,0.5151643539556459
Portland Trail Blazers,Denver Nuggets,0.6872594239850123
Golden State Warriors,New York Knicks,0.9285710765401661
Chicago Bulls,Milwaukee Bucks,0.8170681756501041
Indiana Pacers,New Orleans Pelicans,0.7238561409481002
San Antonio Spurs,Phoenix Suns,0.9387385658788218
Boston Celtics,Charlotte Hornets,0.6303436000592176
Chicago Bulls,Milwaukee Bucks,0.8454901027291303
Houston Rockets,New Orleans Pelicans,0.7109554359522166
Memphis Grizzlies,Sacramento Kings,0.61921698240101
Miami Heat,Los Angeles Clippers,0.5515870379804393
Orlando Magic,Brooklyn Nets,0.8421572196759377
Los Angeles Lakers,Philadelphia 76ers,0.8774185252558419
Toronto Raptors,Atlanta Hawks,0.7248591803808744
Dallas Mavericks,Utah Jazz,0.514915428787827
Washington Wizards,Detroit Pistons,0.5642367373374049
Atlanta Hawks,Charlotte Hornets,0.5835605749328018
Cleveland Cavaliers,Los Angeles Lakers,0.9818603958348706
Denver Nuggets,New York Knicks,0.5405584053333646
Detroit Pistons,Indiana Pacers,0.5710840885279781
Golden State Warriors,Portland Trail Blazers,0.8341065399899813
Houston Rockets,Minnesota Timberwolves,0.704978142128672
Oklahoma City Thunder,Phoenix Suns,0.9383398013438221
Dallas Mavericks,Sacramento Kings,0.6414991596635604
Memphis Grizzlies,Utah Jazz,0.5036482573366421
Miami Heat,Boston Celtics,0.5782751564914878
Toronto Raptors,Orlando Magic,0.7829532367120368
Brooklyn Nets,Philadelphia 76ers,0.9021889538466267
San Antonio Spurs,New Orleans Pelicans,0.9153824142976554
Los Angeles Clippers,Washington Wizards,0.5890425362764566
Chicago Bulls,Detroit Pistons,0.6737365097176599
Dallas Mavericks,Denver Nuggets,0.6328545349267098
Indiana Pacers,Washington Wizards,0.5837999598701046
Minnesota Timberwolves,Phoenix Suns,0.6193039513614441
Oklahoma City Thunder,Atlanta Hawks,0.7175201684364195
Charlotte Hornets,Los Angeles Lakers,0.9515315259406673
Golden State Warriors,Utah Jazz,0.8768043791639655
San Antonio Spurs,Houston Rockets,0.7313790221896479
Los Angeles Clippers,Denver Nuggets,0.8502770848590505
Boston Celtics,Memphis Grizzlies,0.6458223365414453
Miami Heat,Orlando Magic,0.7843961076199766
Cleveland Cavaliers,Milwaukee Bucks,0.8940640507610028
Indiana Pacers,New York Knicks,0.7215159218477905
New Orleans Pelicans,Philadelphia 76ers,0.9662766125346507
Portland Trail Blazers,Sacramento Kings,0.6777119437211561
Toronto Raptors,Brooklyn Nets,0.9640541945963997
Atlanta Hawks,Minnesota Timberwolves,0.8634580114535901
Chicago Bulls,Washington Wizards,0.6684543663928053
Cleveland Cavaliers,Milwaukee Bucks,0.9344815056552894
Detroit Pistons,Memphis Grizzlies,0.6475848813674393
Oklahoma City Thunder,New Orleans Pelicans,0.8433127324737336
Houston Rockets,Phoenix Suns,0.8295057556323658
Portland Trail Blazers,Dallas Mavericks,0.5949040999902878
Utah Jazz,Sacramento Kings,0.6263507538395723
Golden State Warriors,Brooklyn Nets,0.9742052047186032
Boston Celtics,Indiana Pacers,0.5367954330819984
San Antonio Spurs,Los Angeles Clippers,0.5167182270227042
Miami Heat,Los Angeles Lakers,0.9582610373648913
Orlando Magic,New York Knicks,0.6083630400973932
Boston Celtics,Oklahoma City Thunder,0.5219290178123933
Charlotte Hornets,Chicago Bulls,0.5039852951222036
Cleveland Cavaliers,Brooklyn Nets,0.9767465397173453
Atlanta Hawks,Denver Nuggets,0.6923635463506063
Golden State Warriors,Detroit Pistons,0.7355114487853132
Los Angeles Clippers,Dallas Mavericks,0.7139206869590731
Memphis Grizzlies,Houston Rockets,0.5189436737308266
Washington Wizards,Milwaukee Bucks,0.7042333644123039
Sacramento Kings,Minnesota Timberwolves,0.6131807657017256
Miami Heat,New Orleans Pelicans,0.8186558454235279
Orlando Magic,Los Angeles Lakers,0.8730218448151218
Phoenix Suns,Philadelphia 76ers,0.8602396126752555
San Antonio Spurs,Portland Trail Blazers,0.644998102862197
Toronto Raptors,Utah Jazz,0.7237772410562311
Cleveland Cavaliers,Golden State Warriors,0.5814033213505312
Los Angeles Clippers,Los Angeles Lakers,0.9728882781704191
Boston Celtics,New York Knicks,0.8047437378185189
Oklahoma City Thunder,Minnesota Timberwolves,0.9157420122020925
San Antonio Spurs,Chicago Bulls,0.6914767730542167
Charlotte Hornets,Brooklyn Nets,0.9305973735062956
Chicago Bulls,Indiana Pacers,0.6636448333878154
Cleveland Cavaliers,Detroit Pistons,0.7226219760153776
Houston Rockets,Phoenix Suns,0.818072069397948
Los Angeles Clippers,Denver Nuggets,0.8502770848590505
Atlanta Hawks,Minnesota Timberwolves,0.7864544580935852
Dallas Mavericks,New Orleans Pelicans,0.7144730362010212
Memphis Grizzlies,Orlando Magic,0.5258920568343197
Toronto Raptors,Portland Trail Blazers,0.6269887973789063
Sacramento Kings,Philadelphia 76ers,0.9554191679679973
Washington Wizards,Milwaukee Bucks,0.7743256177871711
Boston Celtics,Memphis Grizzlies,0.7557193194142684
Dallas Mavericks,Houston Rockets,0.5427607430430199
Utah Jazz,Los Angeles Lakers,0.9456471430724475
Miami Heat,Oklahoma City Thunder,0.5151201245035033
Atlanta Hawks,New York Knicks,0.7964802023401671
Chicago Bulls,Brooklyn Nets,0.9415729121472491
Denver Nuggets,Minnesota Timberwolves,0.6553104575032329
Detroit Pistons,Milwaukee Bucks,0.7869024775899435
Golden State Warriors,Toronto Raptors,0.72197392517839
Los Angeles Clippers,New Orleans Pelicans,0.8229553328375303
Charlotte Hornets,Orlando Magic,0.6680374231669016
Portland Trail Blazers,Sacramento Kings,0.7232316745088104
San Antonio Spurs,Phoenix Suns,0.9518694482705776
Washington Wizards,Indiana Pacers,0.5530052065583574
Charlotte Hornets,Miami Heat,0.5199373842210446
Cleveland Cavaliers,Boston Celtics,0.7637523684822142
Dallas Mavericks,Los Angeles Lakers,0.9507813732908932
Oklahoma City Thunder,Memphis Grizzlies,0.7018082688257778
Toronto Raptors,Phoenix Suns,0.9341084594470161
Utah Jazz,Philadelphia 76ers,0.9708463470508684
Atlanta Hawks,Detroit Pistons,0.6584642927079752
Boston Celtics,Miami Heat,0.5655188825602862
Denver Nuggets,Philadelphia 76ers,0.9535043378894437
Golden State Warriors,Dallas Mavericks,0.8650485708714122
Los Angeles Clippers,Houston Rockets,0.6546451493999241
Chicago Bulls,Indiana Pacers,0.5721620088196395
